"","MLS","sold_price","zipcode","longitude","latitude","lot_acres","taxes","year_built","bedrooms","bathrooms","sqrt_ft","garage","kitchen_features","fireplaces","floor_covering","HOA"
"1","21113310","910000","85637","-110.742582","31.631884","58","4630","1987","3","3","3440","7","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","3","Carpet, Ceramic Tile, Mexican Tile","130"
"2","21510119","1e+06","85755","-110.99217","32.458323","3.49","14400","2005","3","4","4162","3","Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven","3","Carpet, Ceramic Tile","166"
"3","21119508","1e+06","85742","-111.031723","32.44019","4.13","3861.65","2009","6","6","6520","4","None","3","Other","50"
"4","21408959","1010000","85750","-110.86124","32.332306","2","13071.96","1990","4","6","7002","3","Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","1","Carpet, Ceramic Tile, Natural Stone","421"
"5","21123767","1e+06","85742","-111.027855","32.356862","1.3","10121.43","1973","5","6","6097","3.5","Dishwasher, Refrigerator, Microwave, Oven","1","Carpet, Ceramic Tile, Natural Stone","53"
"6","21402489","9e+05","85718","-110.876201","32.333403","1.35","11066","2013","5","5","5299","3","None","3","Other","145"
"7","21527725","1026000","85755","-110.979521","32.425905","1.06","8303","2005","4","4","4036","3","Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven","2","Carpet, Natural Stone","84"
"8","21601641","1e+06","85745","-111.040904","32.224596","3.31","11587.55","2008","4","4","4661","3","Compactor, Dishwasher, Garbage Disposal, Microwave, Oven","3","Carpet, Natural Stone","125"
"9","21514074","1015000","85749","-110.717757","32.246043","3.3","7302.25","1963","4","5","5474","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","3","Mexican Tile","0"
"10","21510748","950000","85646","-111.0734","31.61953","4.4","13193.8","2008","3","7","6614","4","Dishwasher, Refrigerator","3","Mexican Tile, Wood","0"
"11","3055989","950000","85646","-111.073405","31.619537","4.4","13193.8","2008","3","7","6614","4","Compactor, Dishwasher, Double Sink, Pantry: Butler, Refrigerator, Countertops: GRANITE, Microwave","3","Mexican Tile, Wood, Other","78.09"
"12","21214587","1013000","85742","-111.026598","32.413654","3.3","10321.45","2008","4","4","3939","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","3","Concrete, Wood","120"
"13","21604907","1015000","85749","-110.735178","32.258733","0.87","1083.38","2016","5","5","5367","4","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","3","Carpet, Natural Stone","125"
"14","21800114","1017500","85718","-110.895897","32.33308","0.94","6743.86","1971","5","6","4229","4","Dishwasher, Electric Range, Garbage Disposal, Island, Pantry: Walk-In, Refrigerator, Warming Drawer, Wet Bar, Appliance Color: Stainless, Countertops: Caesarstone","1","Carpet, Ceramic Tile","0"
"15","21500280","1020000","85718","-110.898425","32.333345","1.51","3000.91","2014","4","4","3775","2","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","1","Carpet, Natural Stone","0"
"16","21532125","1e+06","85718","-110.91725","32.299084","1.42","9644.82","2004","4","5","4561","3","Dishwasher, Garbage Disposal, Oven","5","Carpet, Other","22"
"17","21110496","950000","85718","-110.877569","32.328378","1.05","8640","1989","4","5","4387","2","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","1","Carpet, Natural Stone","145"
"18","21903290","995000","85750","-110.841341","32.318579","2.03","9493.17","1991","4","4","4383","4","Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Appliance Color: Stainless, Countertops: Granite & Butcher Bl, Microwave: built-in","3","Carpet, Natural Stone","78.09"
"19","21816476","1e+06","85658","-111.101977","32.465632","0.32","8314.32","2015","3","3","3404","3","Compactor, Dishwasher, Garbage Disposal, Gas Range, Island, Prep Sink, Refrigerator, Appliance Color: Stainless, Countertops: Granite/Quartz","2","Carpet, Ceramic Tile, Laminate, Wood","78.09"
"20","21521014","1025000","85755","-110.978571","32.460133","0.83","12700","2014","3","4","3078","3","Dishwasher, Garbage Disposal, Microwave, Oven","1","Carpet, Ceramic Tile, Indoor/Outdoor, Natural Stone","167"
"21","21400010","1025000","85658","-111.063313","32.462699","1.39","10631","2005","3","4","3479","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave","3","Carpet, Wood","139"
"22","21524746","1e+06","85641","-110.610287","32.129735","41.04","12258.22","1940","7","9","8335","0","Dishwasher, Freezer, Garbage Disposal, Oven","5","Ceramic Tile, Concrete, Mexican Tile, Wood","122"
"23","21611111","966770.5","85755","-110.985288","32.46519","0.5","1490","2015","3","4","2888","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","0","Other","167"
"24","21305065","1e+06","85718","-110.922266","32.340674","1.85","10745","1983","3","4","3788","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","1","Carpet, Natural Stone, Wood","241"
"25","21716217","1e+06","85737","-110.932409","32.422274","3.3","9842.9","2002","4","4","4021","3","Desk, Dishwasher, Garbage Disposal, Gas Range, Island, Lazy Susan, Pantry: Walk-In, Prep Sink, Refrigerator, Reverse Osmosis, Appliance Color: Stainless","4","Natural Stone","50"
"26","21802084","1e+06","85718","-110.921214","32.308033","1.01","7239.79","1996","3","5","3976","3","Dishwasher, Double Sink, Garbage Disposal, Gas Range, Pantry: Butler, Reverse Osmosis, Appliance Color: Stainless, Countertops: granite","4","Mexican Tile, Natural Stone, Wood","5"
"27","21808830","1e+06","85718","-110.925273","32.294623","1.2","13833.2","2009","4","4","4805","3","Compactor, Freezer, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Oven: GE Monogram","3","Carpet, Natural Stone","146"
"28","4113651","9e+05","85646","-111.037399","31.574636","34.45","3354.1","1964","3","3","2759","None","Dishwasher, Double Sink, Garbage Disposal, Refrigerator, Countertops: Laminate, Missing: Range","2","Concrete","78.09"
"29","21921659","952000","85742","-111.03269","32.450142","10","11706.28","1997","4","3","4736","2","Dishwasher, Garbage Disposal, Gas Range, Refrigerator, Appliance Color: Stainless","2","Concrete","78.09"
"30","21418106","1025000","85658","-111.063751","32.47123","1.75","11741.99","2002","4","4","3417","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","1","Carpet, Natural Stone","143"
"31","21228273","850000","85718","-110.919674","32.29392","3.65","8864.45","1995","4","5","4594","4","Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","4","Carpet, Ceramic Tile, Wood","120"
"32","21502341","950000","85755","-111.003536","32.470309","2.36","13379.76","2012","4","5","3757","3","Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven","0","Carpet, Ceramic Tile, Concrete","166"
"33","21314720","950000","85737","-110.988991","32.406416","1.08","8161.82","2001","4","4","4701","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","5","Natural Stone, Wood","50"
"34","21328095","991000","85745","-111.117201","32.285449","20","11877.37","2006","4","5","4347","3","Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven","4","Concrete, Mexican Tile","0"
"35","21403354","1e+06","85718","-110.885672","32.329606","0.84","4441","1977","4","3","4040","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","2","Carpet, Natural Stone, Wood","155"
"36","21415524","987500","85750","-110.852359","32.323695","0.36","6909.91","1999","3","3","3041","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","3","Carpet, Natural Stone","123"
"37","21505185","975000","85750","-110.834681","32.324663","1.33","6725.8","1998","3","4","3663","2","Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","1","Carpet, Natural Stone","50"
"38","21518159","1e+06","85718","-110.88825","32.326817","1.23","9491.69","1993","5","4","6167","3","Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven","2","Carpet, Natural Stone","179"
"39","21607470","970000","85718","-110.91243","32.283361","1.25","12343","1999","5","5","4935","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","2","Carpet, Ceramic Tile, Other","52"
"40","21604894","1015000","85718","-110.878426","32.330197","1.21","7800.3","1992","4","4","5738","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","3","Carpet, Natural Stone","258"
"41","21530040","9e+05","85718","-110.877611","32.335791","3.77","11734.71","1982","4","3","5443","2","Dishwasher, Garbage Disposal, Oven","3","Carpet, Ceramic Tile","258"
"42","21100225","975000","85658","-111.062959","32.460785","2.16","11751.8","2004","3","4","3703","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","2","Carpet, Natural Stone, Wood","143"
"43","21307743","1020000","85755","-110.96812","32.464829","1.64","14677","2000","5","6","5927","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","3","Carpet, Natural Stone","107"
"44","21318982","9e+05","85745","-111.113182","32.242099","7.74","18509.3","2013","5","6","9284","3","None","4","Ceramic Tile, Wood, Other","250"
"45","21729041","910000","85718","-110.902875","32.320785","1.03","9730","1994","5","6","5418","3","Dishwasher, Double Sink, Electric Range, Garbage Disposal, Pantry: Walk-In, Refrigerator, Countertops: Granite, Oven: double","1","Carpet, Ceramic Tile, Wood","270"
"46","21805231","995000","85745","-111.040915","32.224589","3.31","12426","2008","4","5","4920","3","Compactor, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Wet Bar, Appliance Color: Stainless, Countertops: Granite, Oven: Electric","3","Carpet, Natural Stone","125"
"47","21804537","1e+06","85646","-111.048371","31.637039","1.1","6089.98","2002","3","3","4064","3","Compactor, Dishwasher, Double Sink, Electric Range, Garbage Disposal, Island, Lazy Susan, Pantry: Cabinet, Refrigerator, Wet Bar, Appliance Color: Stainless, Countertops: Granite, Microwave: Built-in, Oven: Double","3","Carpet, Ceramic Tile","21"
"48","21731756","895000","85749","-110.799667","32.253627","11.57","26110","1948","19","18","12154","0","Dishwasher, Garbage Disposal, Pantry: Walk-In, Refrigerator","3","Carpet, Mexican Tile, Other: Multiple Types","78.09"
"49","21831408","985000","85718","-110.889899","32.291525","0.82","10274.5","2008","4","4","3438","3","Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Reverse Osmosis, Appliance Color: Stainless, Countertops: Granite, Microwave: Stainless, Oven: Stainless","1","Carpet, Natural Stone","150"
"50","21901305","925000","85755","-110.991684","32.461466","1","12829","2005","4","4","4395","3","Compactor, Dishwasher, Garbage Disposal, Refrigerator","5","Carpet, Natural Stone","194"
"51","21409408","1010000","85718","-110.918577","32.300914","1.48","16796.89","2005","5","7","7284","4","None","2","Carpet, Concrete, Other","150"
"52","21406051","1e+06","85750","-110.834239","32.323939","0.83","8846.99","1995","5","6","5800","4","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","2","Carpet, Natural Stone, Wood, Other","50"
"53","21415485","985000","85718","-110.941318","32.340119","1","8540.73","2001","4","3","3528","3","Compactor, Dishwasher, Refrigerator, Microwave, Oven","4","Natural Stone, Wood","159"
"54","21619675","1025000","85750","-110.81883","32.292563","1.15","10270.51","2010","4","4","4325","3","Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","2","Natural Stone","52"
"55","21711580","1005000","85718","-110.917251","32.29907","1.88","10852.82","2004","4","4","4512","3","Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Prep Sink, Refrigerator, Appliance Color: Stainless","5","Carpet, Natural Stone","131"
"56","21727137","1025000","85718","-110.890347","32.333325","0.77","9436.1","1990","2","4","3962","2","Compactor, Dishwasher, Electric Range, Garbage Disposal, Pantry: Cabinet, Refrigerator, Reverse Osmosis, Water Purifier, Appliance Color: Stainless, Countertops: corian","3","Carpet, Laminate, Natural Stone, Wood","84"
"57","21715561","990000","85718","-110.943612","32.340981","0.96","11454.4","2001","5","5","4089","3","Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Closet, Prep Sink, Refrigerator, Wet Bar, Appliance Color: Stainless, Countertops: Granite","2","Carpet, Natural Stone, Wood","157"
"58","21725825","1020000","85750","-110.863398","32.331783","1.07","10807","1992","4","4","4061","3","Dishwasher, Garbage Disposal, Refrigerator","2","Carpet, Ceramic Tile, Natural Stone","233"
"59","21613347","9e+05","85718","-110.958716","32.340671","8","12118.4","1980","5","5","5551","5","Dishwasher, Freezer, Garbage Disposal, Refrigerator, Oven","3","Carpet, Ceramic Tile, Mexican Tile","4"
"60","21200742","1010000","85718","-110.890334","32.291505","0.88","4031","2011","4","5","3810","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","1","Carpet, Natural Stone, Wood","140"
"61","21218507","1e+06","85718","-110.942702","32.349524","0.91","15074.94","2005","4","4","4727","4","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","1","Carpet, Ceramic Tile, Natural Stone","158"
"62","21804780","980000","85755","-110.967153","32.463557","2.35","10934.98","1997","4","4","3812","3","Desk, Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Cabinet, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: Stainless","3","Carpet, Other: Brick","132"
"63","21830431","1022500","85718","-110.914737","32.294956","1.42","13054.82","1988","5","5","5875","4","Compactor, Desk, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Reverse Osmosis, Appliance Color: Stainless, Countertops: Granite, Microwave: Oven, Oven: Stainless","3","Carpet, Natural Stone","193"
"64","21900616","930000","85719","-110.943229","32.241947","0.43","5497","1937","6","5","4717","4","Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Countertops: Granite + concrete, Microwave: shelf + builtin","5","Ceramic Tile, Concrete, Wood","78.09"
"65","21300387","1015000","85718","-110.948942","32.343817","0.97","9620.36","2002","3","4","3829","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","3","Carpet, Natural Stone","159"
"66","21226192","993000","85718","-110.918141","32.286954","0.89","10795.75","2005","3","5","4169","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","4","Carpet, Ceramic Tile","45"
"67","21301765","975000","85718","-110.925585","32.304246","1.17","9010.4","2009","4","4","4200","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","2","Carpet, Concrete, Wood","0"
"68","21500005","1e+06","85658","-111.087772","32.47008","0.7","10171","2007","4","4","3720","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","3","Carpet, Natural Stone","117"
"69","21805103","961000","85755","-111.015568","32.434271","4.38","10941.05","1995","4","5","5433","7","Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Lazy Susan, Pantry: Closet, Prep Sink, Refrigerator, Appliance Color: Stainless, Countertops: Granite","2","Carpet, Mexican Tile, Natural Stone","78.09"
"70","21812838","985110","85750","-110.838281","32.328514","1.18","21370.94","2003","5","5","6328","3","Dishwasher, Garbage Disposal, Gas Range, Island, Refrigerator, Wet Bar","4","Carpet, Natural Stone, Wood","425"
"71","21501660","970000","85749","-110.778031","32.30794","1.46","8766.03","2007","4","4","4040","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","1","Carpet, Ceramic Tile","171"
"72","21426583","1e+06","85658","-111.056522","32.457059","1.35","14755.88","2008","4","4","4348","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","2","Carpet, Natural Stone","143"
"73","21040019","965000","85737","-110.992446","32.398966","2.59","10137.9","1999","4","3","4763","4","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","4","Carpet, Mexican Tile","45"
"74","21202752","1025000","85712","-110.872271","32.26538","9.37","10349","1974","7","7","8177","2","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","5","Carpet, Ceramic Tile, Concrete, Vinyl","0"
"75","21313656","950000","85718","-110.922733","32.342072","0.95","9703.08","1993","3","4","4180","2","Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven","1","Carpet, Ceramic Tile, Natural Stone","242"
"76","21800120","982000","85748","-110.744114","32.22876","3.34","9414.32","1996","5","4","4786","3","Dishwasher, Garbage Disposal, Gas Range, Island, Prep Sink, Refrigerator, Warming Drawer, Appliance Color: Stainless, Countertops: Granite, Microwave: Installed, Oven: Double","4","Carpet, Ceramic Tile","68"
"77","21809623","1e+06","85718","-110.923425","32.314073","1.59","9029.83","2006","5","3","3402","3","Compactor, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Microwave: built in, Oven: Gas","2","Concrete, Wood","195"
"78","21727447","9e+05","85658","-111.065056","32.471522","1.36","13196.96","2003","3","4","3978","3","Dishwasher, Electric Range, Garbage Disposal, Island, Pantry: Closet, Prep Sink, Refrigerator, Appliance Color: Black, Countertops: Granite, Oven: Double Ovens","5","Carpet, Ceramic Tile","143"
"79","21621890","977000","85718","-110.936685","32.333035","1.11","5709","1980","4","5","4120","2","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","2","Ceramic Tile, Concrete, Wood","0"
"80","21433363","960000","85718","-110.915889","32.286166","1.71","10816.77","2004","4","5","4743","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","1","Carpet, Ceramic Tile, Wood","194"
"81","21604918","950000","85718","-110.88601","32.33204","0.99","9379","1965","5","5","5100","2","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","2","Carpet, Natural Stone","258"
"82","21624670","990000","85737","-110.948316","32.399464","0.81","8323.66","2008","3","4","3306","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","3","Concrete","71"
"83","21313464","975000","85718","-110.908003","32.329545","0.73","5229.89","2002","4","4","3438","2","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","4","Concrete","0"
"84","21228360","1020000","85755","-110.96146","32.465403","1.2","8774.21","1998","4","4","3955","3","Dishwasher, Refrigerator, Microwave, Oven","3","Carpet, Other","200"
